location,total_sqft,bath,balcony,price,bhk
Thanisandra,1492.0,3.0,1.0,88.0,3
Raja Rajeshwari Nagar,1400.0,2.0,2.0,48.0,3
Whitefield,1530.0,3.0,3.0,75.0,3
Uttarahalli,1560.0,3.0,3.0,74.0,3
7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3
Thanisandra,1265.0,2.0,2.0,46.6,2
7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
Raja Rajeshwari Nagar,1133.0,2.0,1.0,38.37,2
Hennur Road,1036.0,2.0,1.0,59.45,2
Uttarahalli,1330.0,2.0,2.0,39.9,3
Yelahanka,1150.0,2.0,2.0,46.0,2
Whitefield,1020.0,2.0,2.0,45.0,2
Hebbal,1150.0,2.0,1.0,57.0,2
Electronic City Phase II,1140.0,2.0,1.0,32.92,2
Hebbal,1200.0,4.0,2.0,225.0,4
Marathahalli,1730.0,3.0,3.0,139.0,3
Uttarahalli,1100.0,1.0,2.0,45.0,2
Thanisandra,1996.0,4.0,1.0,123.0,3
Thanisandra,2087.0,4.0,2.0,139.0,3
Electronic City,1150.0,2.0,2.0,35.0,2
Sarjapur  Road,1035.0,2.0,2.0,49.0,2
Sarjapur  Road,1241.0,2.0,1.0,82.0,2
Sarjapur  Road,1120.0,2.0,2.0,50.0,2
Electronic City Phase II,1125.0,2.0,1.0,32.49,2
Raja Rajeshwari Nagar,1100.0,2.0,1.0,55.0,2
Sarjapur  Road,1787.0,3.0,2.0,98.29,3
Uttarahalli,1255.0,2.0,2.0,50.19,3
Electronic City,630.0,1.0,1.0,47.0,1
Whitefield,1109.0,2.0,1.0,41.49,2
Raja Rajeshwari Nagar,1140.0,2.0,1.0,49.39,2
Sarjapur  Road,1205.0,2.0,2.0,37.0,2
7th Phase JP Nagar,1460.0,3.0,1.0,70.0,3
Bannerghatta Road,595.0,1.0,1.0,31.83,1
Yelahanka,1322.0,2.0,2.0,86.0,2
Uttarahalli,1650.0,2.0,1.0,50.0,3
Electronic City,1440.0,2.0,2.0,55.0,3
Yelahanka,935.0,2.0,1.0,35.53,2
Sarjapur  Road,1305.0,2.0,1.0,99.0,2
Marathahalli,1680.0,3.0,3.0,105.0,3
Whitefield,1250.0,2.0,2.0,72.0,2
Whitefield,905.0,1.0,1.0,50.0,1
7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2
Bannerghatta Road,1237.5,2.0,0.0,49.49,2
Kanakpura Road,1843.0,3.0,2.0,92.15,3
Kanakpura Road,1452.0,3.0,3.0,60.0,3
Thanisandra,1430.0,2.0,2.0,51.48,3
Thanisandra,1241.0,2.0,1.0,65.0,3
Electronic City Phase II,1020.0,2.0,1.0,27.43,2
7th Phase JP Nagar,1100.0,2.0,0.0,46.0,2
Electronic City,1620.0,3.0,2.0,62.0,3
Kanakpura Road,381.0,1.0,1.0,28.0,1
